AssetName,PackageName,Class,Path,Depth,SizeBytes,Mode,ParentPackage,IsCircular,IsUnusedCandidate
Vfx_DefUp,/Game/07_FX/CombatVFX/HealPositive/NS/Vfx_DefUp,NiagaraSystem,/Game/07_FX/CombatVFX/HealPositive/NS,1,4479280,Dependencies,/Game/01_Character/01_Player/BP_CPlayer,false,false
sfx_DefUP_Cue,/Game/07_FX/CombatVFX/HealPositive/SFX/sfx_DefUP_Cue,SoundCue,/Game/07_FX/CombatVFX/HealPositive/SFX,2,4314,Dependencies,/Game/07_FX/CombatVFX/HealPositive/NS/Vfx_DefUp,false,false
NE_spell_particle_wall,/Game/07_FX/CombatVFX/HealPositive/__GenericSource/NE/NE_spell_particle_wall,NiagaraEmitter,/Game/07_FX/CombatVFX/HealPositive/__GenericSource/NE,2,246004,Dependencies,/Game/07_FX/CombatVFX/HealPositive/NS/Vfx_DefUp,false,false
NE_RingBrust,/Game/07_FX/CombatVFX/HealPositive/__GenericSource/NE/NE_RingBrust,NiagaraEmitter,/Game/07_FX/CombatVFX/HealPositive/__GenericSource/NE,2,330999,Dependencies,/Game/07_FX/CombatVFX/HealPositive/NS/Vfx_DefUp,false,false
MI_ParticleSubUVAdd_light01_84,/Game/07_FX/CombatVFX/HealPositive/__GenericSource/Material/MI/MI_ParticleSubUVAdd_light01_84,MaterialInstanceConstant,/Game/07_FX/CombatVFX/HealPositive/__GenericSource/Material/MI,2,8399,Dependencies,/Game/07_FX/CombatVFX/HealPositive/NS/Vfx_DefUp,false,false
MI_ParticleSubUVAddBG_light01_84,/Game/07_FX/CombatVFX/HealPositive/__GenericSource/Material/MI/MI_ParticleSubUVAddBG_light01_84,MaterialInstanceConstant,/Game/07_FX/CombatVFX/HealPositive/__GenericSource/Material/MI,2,9897,Dependencies,/Game/07_FX/CombatVFX/HealPositive/NS/Vfx_DefUp,false,false
MI_DecalSpell_Circle_blur,/Game/07_FX/CombatVFX/HealPositive/__GenericSource/Material/MI/MI_DecalSpell_Circle_blur,MaterialInstanceConstant,/Game/07_FX/CombatVFX/HealPositive/__GenericSource/Material/MI,2,11163,Dependencies,/Game/07_FX/CombatVFX/HealPositive/NS/Vfx_DefUp,false,false
MI_DecalSpell_Circle_07,/Game/07_FX/CombatVFX/HealPositive/__GenericSource/Material/MI/MI_DecalSpell_Circle_07,MaterialInstanceConstant,/Game/07_FX/CombatVFX/HealPositive/__GenericSource/Material/MI,2,11147,Dependencies,/Game/07_FX/CombatVFX/HealPositive/NS/Vfx_DefUp,false,false
MI_Basic_trail05,/Game/07_FX/CombatVFX/HealPositive/__GenericSource/Material/MI/MI_Basic_trail05,MaterialInstanceConstant,/Game/07_FX/CombatVFX/HealPositive/__GenericSource/Material/MI,2,9024,Dependencies,/Game/07_FX/CombatVFX/HealPositive/NS/Vfx_DefUp,false,false
MI_Basic_Stuff_bubble02,/Game/07_FX/CombatVFX/HealPositive/__GenericSource/Material/MI/MI_Basic_Stuff_bubble02,MaterialInstanceConstant,/Game/07_FX/CombatVFX/HealPositive/__GenericSource/Material/MI,2,9264,Dependencies,/Game/07_FX/CombatVFX/HealPositive/NS/Vfx_DefUp,false,false
MI_BasicSwapUVBG_Energy_trail_04,/Game/07_FX/CombatVFX/HealPositive/__GenericSource/Material/MI/MI_BasicSwapUVBG_Energy_trail_04,MaterialInstanceConstant,/Game/07_FX/CombatVFX/HealPositive/__GenericSource/Material/MI,2,10451,Dependencies,/Game/07_FX/CombatVFX/HealPositive/NS/Vfx_DefUp,false,false
Vfx_SpeedUp,/Game/07_FX/CombatVFX/HealPositive/NS/Vfx_SpeedUp,NiagaraSystem,/Game/07_FX/CombatVFX/HealPositive/NS,1,4534925,Dependencies,/Game/01_Character/01_Player/BP_CPlayer,false,false
sfx_speedUp_Cue,/Game/07_FX/CombatVFX/HealPositive/SFX/sfx_speedUp_Cue,SoundCue,/Game/07_FX/CombatVFX/HealPositive/SFX,2,4328,Dependencies,/Game/07_FX/CombatVFX/HealPositive/NS/Vfx_SpeedUp,false,false
NE_Vortex,/Game/07_FX/CombatVFX/HealPositive/__GenericSource/NE/NE_Vortex,NiagaraEmitter,/Game/07_FX/CombatVFX/HealPositive/__GenericSource/NE,2,233236,Dependencies,/Game/07_FX/CombatVFX/HealPositive/NS/Vfx_SpeedUp,false,false
NE_spell_particle_up,/Game/07_FX/CombatVFX/HealPositive/__GenericSource/NE/NE_spell_particle_up,NiagaraEmitter,/Game/07_FX/CombatVFX/HealPositive/__GenericSource/NE,2,191439,Dependencies,/Game/07_FX/CombatVFX/HealPositive/NS/Vfx_SpeedUp,false,false
NE_follow_ribbon,/Game/07_FX/CombatVFX/HealPositive/__GenericSource/NE/NE_follow_ribbon,NiagaraEmitter,/Game/07_FX/CombatVFX/HealPositive/__GenericSource/NE,2,102706,Dependencies,/Game/07_FX/CombatVFX/HealPositive/NS/Vfx_SpeedUp,false,false
NE_flash_point_light,/Game/07_FX/CombatVFX/HealPositive/__GenericSource/NE/NE_flash_point_light,NiagaraEmitter,/Game/07_FX/CombatVFX/HealPositive/__GenericSource/NE,2,323089,Dependencies,/Game/07_FX/CombatVFX/HealPositive/NS/Vfx_SpeedUp,false,false
NE_decal_bottom,/Game/07_FX/CombatVFX/HealPositive/__GenericSource/NE/NE_decal_bottom,NiagaraEmitter,/Game/07_FX/CombatVFX/HealPositive/__GenericSource/NE,2,486858,Dependencies,/Game/07_FX/CombatVFX/HealPositive/NS/Vfx_SpeedUp,false,false
NE_Cycclone,/Game/07_FX/CombatVFX/HealPositive/__GenericSource/NE/NE_Cycclone,NiagaraEmitter,/Game/07_FX/CombatVFX/HealPositive/__GenericSource/NE,2,335556,Dependencies,/Game/07_FX/CombatVFX/HealPositive/NS/Vfx_SpeedUp,false,false
M_DecalSpellAdd,/Game/07_FX/CombatVFX/HealPositive/__GenericSource/Material/M_DecalSpellAdd,Material,/Game/07_FX/CombatVFX/HealPositive/__GenericSource/Material,2,95214,Dependencies,/Game/07_FX/CombatVFX/HealPositive/NS/Vfx_SpeedUp,false,false
MI_WhirlWind_Twist_twosoul,/Game/07_FX/CombatVFX/HealPositive/__GenericSource/Material/MI/MI_WhirlWind_Twist_twosoul,MaterialInstanceConstant,/Game/07_FX/CombatVFX/HealPositive/__GenericSource/Material/MI,2,8765,Dependencies,/Game/07_FX/CombatVFX/HealPositive/NS/Vfx_SpeedUp,false,false
MI_WhirlWind_Moon_attack,/Game/07_FX/CombatVFX/HealPositive/__GenericSource/Material/MI/MI_WhirlWind_Moon_attack,MaterialInstanceConstant,/Game/07_FX/CombatVFX/HealPositive/__GenericSource/Material/MI,2,9934,Dependencies,/Game/07_FX/CombatVFX/HealPositive/NS/Vfx_SpeedUp,false,false
